----------------------------------------------------------------------------------------------------------------------------------------------
----------------------------------------------------------------------------------------------------------------------------------------------
 LID                                      LID(String)      Filename         Verno                                 Description    Category   Attribute
----------------------------------------------------------------------------------------------------------------------------------------------
   0                                 NVRAM_EF_SYS_LID          MT00           000                                      (null)      0x0001      0x0006
   8                        NVRAM_EF_IMPT_COUNTER_LID          MP0D           000                                      (null)      0x4000      0xc000
  15                      NVRAM_EF_L1_AGCPATHLOSS_LID          MT05           002                                      (null)      0x1400      0x0000
  16                 NVRAM_EF_L1_RAMPTABLE_GSM850_LID          MT06           002                                      (null)      0x1400      0x0000
  17                 NVRAM_EF_L1_RAMPTABLE_GSM900_LID          MT07           002                                      (null)      0x1400      0x0000
  18                NVRAM_EF_L1_RAMPTABLE_DCS1800_LID          MT08           002                                      (null)      0x1400      0x0000
  19                NVRAM_EF_L1_RAMPTABLE_PCS1900_LID          MT09           002                                      (null)      0x1400      0x0000
  20            NVRAM_EF_L1_EPSK_RAMPTABLE_GSM850_LID          MT0A           002                                      (null)      0x1400      0x0000
  21            NVRAM_EF_L1_EPSK_RAMPTABLE_GSM900_LID          MT0B           002                                      (null)      0x1400      0x0000
  22           NVRAM_EF_L1_EPSK_RAMPTABLE_DCS1800_LID          MT0C           002                                      (null)      0x1400      0x0000
  23           NVRAM_EF_L1_EPSK_RAMPTABLE_PCS1900_LID          MT0D           002                                      (null)      0x1400      0x0000
  24       NVRAM_EF_L1_EPSK_INTERSLOT_RAMP_GSM850_LID          MT0E           002                                      (null)      0x1400      0x0000
  25       NVRAM_EF_L1_EPSK_INTERSLOT_RAMP_GSM900_LID          MT0F           002                                      (null)      0x1400      0x0000
  26      NVRAM_EF_L1_EPSK_INTERSLOT_RAMP_DCS1800_LID          MT0G           002                                      (null)      0x1400      0x0000
  27      NVRAM_EF_L1_EPSK_INTERSLOT_RAMP_PCS1900_LID          MT0H           002                                      (null)      0x1400      0x0000
  28                          NVRAM_EF_L1_AFCDATA_LID          MT0I           002                                      (null)      0x1400      0x0000
  29                             NVRAM_EF_L1_TXIQ_LID          MT0J           004                                      (null)      0x1400      0x0000
  30                    NVRAM_EF_L1_RFSPECIALCOEF_LID          MT0K           006                                      (null)      0x1400      0x0000
  31            NVRAM_EF_L1_INTERSLOT_RAMP_GSM850_LID          MT0L           002                                      (null)      0x1400      0x0000
  32            NVRAM_EF_L1_INTERSLOT_RAMP_GSM900_LID          MT0M           002                                      (null)      0x1400      0x0000
  33           NVRAM_EF_L1_INTERSLOT_RAMP_DCS1800_LID          MT0N           002                                      (null)      0x1400      0x0000
  34           NVRAM_EF_L1_INTERSLOT_RAMP_PCS1900_LID          MT0O           002                                      (null)      0x1400      0x0000
  35                  NVRAM_EF_L1_CRYSTAL_AFCDATA_LID          MT0P           003                                      (null)      0x1400      0x0000
  36                  NVRAM_EF_L1_CRYSTAL_CAPDATA_LID          MT0Q           002                                      (null)      0x1400      0x0000
  37     NVRAM_EF_L1_GMSK_TX_POWER_ROLLBACK_TABLE_LID          MT0R           000                                      (null)      0x1400      0x0000
  38     NVRAM_EF_L1_EPSK_TX_POWER_ROLLBACK_TABLE_LID          MT0S           000                                      (null)      0x1400      0x0000
  39                        NVRAM_EF_L1_GMSK_TXPC_LID          MT0T           000                                      (null)      0x1400      0x0000
  40                        NVRAM_EF_L1_EPSK_TXPC_LID          MT0U           000                                      (null)      0x1400      0x0000
  41                      NVRAM_EF_L1_LNAPATHLOSS_LID          MT0V           000                                      (null)      0x1400      0x0000
  42                  NVRAM_EF_L1_TEMPERATURE_ADC_LID          MT1U           000                                      (null)      0x1400      0x0000
2816                        NVRAM_EF_UL1_TEMP_DAC_LID          UL10           000                                      (null)      0x1400      0x0000
2817                  NVRAM_EF_UL1_PATHLOSS_BAND1_LID          UL11           000                                      (null)      0x1400      0x0000
2818                  NVRAM_EF_UL1_PATHLOSS_BAND2_LID          UL12           000                                      (null)      0x1400      0x0000
2819                  NVRAM_EF_UL1_PATHLOSS_BAND3_LID          UL13           000                                      (null)      0x1400      0x0000
2820                  NVRAM_EF_UL1_PATHLOSS_BAND4_LID          UL14           000                                      (null)      0x1400      0x0000
2821                  NVRAM_EF_UL1_PATHLOSS_BAND5_LID          UL15           000                                      (null)      0x1400      0x0000
